SMILES,Name,pIC50
CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O,CHEMBL64119,6.207608311
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O.CS(=O)(=O)O,CHEMBL1255837,8.831502516
CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,CHEMBL1385840,8.298259368
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CHEMBL643,6.357041121
CC(CNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1)c1ccccc1,CHEMBL1945036,5.599999383
CC(Cc1cccc(CNCCc2c(Cl)cccc2Cl)c1)NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12,CHEMBL1945297,6.900008766
CC(O)CN1CCN(CCSC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,CHEMBL3916231,5
CC(O)CN1CCN(CC[S+]([O-])C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,CHEMBL3931765,5
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL411,4.875463172
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CHEMBL83,4.857454116
CC1(C)C2C(=O)N(CCCCN3CCN(c4cccc5sccc45)CC3)C(=O)C21,CHEMBL4284353,8.075720714
CC1(C)CC(=O)N(CCCCN2CCN(c3cccc4sccc34)CC2)C(=O)C1,CHEMBL4291215,8.142667504
CC1(C)OC(=O)N([C@H]2CC[C@H](c3cnc(N)c(-c4ncccn4)c3)CC2)[C@H]1c1ccccc1,CHEMBL3099716,4.314258261
CC1CC(=O)c2c(N3CCN(C)CC3)cccc2N1S(=O)(=O)c1ccc2ccccc2c1,CHEMBL1642123,5
CC1CC(=O)c2ccc(N3CCN(C)CC3)cc2N1S(=O)(=O)c1ccc2ccccc2c1,CHEMBL1642118,6.866461092
CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,CHEMBL3643413,4.522878745
CCC(CC(=O)c1ccc(C)cc1)N1CCCC1,CHEMBL202939,5
CCC(CC(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,CHEMBL377498,5
CCC(CC)Nc1nc(C)nc2c(-c3cc(F)c(OC)cc3Cl)c(C)nn12,CHEMBL484158,6
CCC1(C)CC(=O)N(CCCCN2CCN(c3cccc4sccc34)CC2)C(=O)C1,CHEMBL4286717,7.962573502
CCC1CC(=O)c2c(N3CCN(C)CC3)cccc2N1S(=O)(=O)c1ccc2ccccc2c1,CHEMBL1642126,6
CCCC(C(=O)c1ccc(-c2cccs2)cc1)N1CCCC1,CHEMBL369997,5
CCCC(C(=O)c1ccc(Br)cc1)N1CCCC1,CHEMBL202420,5
CCCC(C(=O)c1ccc(C(F)(F)F)cc1)N1CCCC1,CHEMBL204490,5
CCCC(C(=O)c1ccc(NC(C)=O)cc1)N1CCCC1,CHEMBL379679,5
CCCC(C(=O)c1ccc(O)cc1)N1CCCC1,CHEMBL203563,5
CCCC(C(=O)c1ccc(OC)cc1)N1CCCC1,CHEMBL381127,5
CCCC(C(=O)c1ccc([N+](=O)[O-])cc1)N1CCCC1,CHEMBL379446,5
CCCC(C(=O)c1ccc2ccccc2c1)N1CCCC1,CHEMBL204759,5
CCCC(C(=O)c1cccc(C)c1)N1CCCC1,CHEMBL204254,5
CCCC(C(=O)c1ccccc1C)N1CCCC1,CHEMBL203403,5
CCCCCCCCCC(=O)N1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21,CHEMBL2016607,6.110068327
CCCCCCCCCC(=O)NCCCN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CHEMBL2016625,5.83856611
CCCCCCCCCC(=O)NN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21,CHEMBL2016614,5.049355038
CCCCCCN(CCc1ccccc1)CCc1cccc(O)c1,CHEMBL2180641,5.902395671
CCCCCNC(=O)c1cccc(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c1,CHEMBL3805826,7.774690718
CCCCN1C2CCC1CC(OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,CHEMBL11493,5
CCCCO/N=C(\CCN1CCN(c2ccccn2)CC1)c1ccccc1,CHEMBL261957,5
CCCCc1cc2c(s1)C[C@H]1c3cc(O)c(OC)cc3CCN1C2,CHEMBL3344458,6.040958608
CCCCc1ccc(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1OC,CHEMBL1276350,8.569924944
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CHEMBL633,4.700013564
CCCN(CCC)C1CCc2cccc(O)c2C1,CHEMBL56,6
CCCN(CCC)CC1COc2cccc(OC)c2C1,CHEMBL11262,5.589999287
CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1.Cl,CHEMBL521582,5
CCCN(CCC)[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,CHEMBL3797209,6.402377934
CCCN(CCC)[C@@H]1Cc2cccc3c2n(c(=O)n3CCCCNC(=O)c2cc3ccccc3[nH]2)C1,CHEMBL4068455,5.546142949
CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C1COc2cccc(OC)c2C1,CHEMBL11592,8
CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)CC1COc2cccc(OC)c2C1,CHEMBL417608,5.749999856
CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)[C@@H]1Cc2cccc3c2n(c(=O)n3CCC)C1,CHEMBL4093477,5.359004571
CCCN(CCCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)c1ccccc1,CHEMBL4761441,7.732828272
CCCN(CCCN1CCN(c2cccc(Cl)c2Cl)CC1)C(=O)c1ccccc1,CHEMBL4745192,6.31452698
CCCN(CCCN1CCN(c2ccccc2OC)CC1)C(=O)c1ccccc1,CHEMBL4746563,6.330776126
CCCN(CCCN1CCN(c2ccccn2)CC1)C(=O)c1ccccc1,CHEMBL4754651,5.158953535
CCCN(c1cccc(N2CCN(C)CC2)c1)S(=O)(=O)c1ccc2ccccc2c1,CHEMBL1222363,5
